Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_LEEDOnline,Chrome 75.0.3770.100,,2019-07-21 13:33:31,2019-07-21 18:44:20,5h - 10m - 49.287s,FAILED
,,,,,,
Test Cases/TC_EnergyEfficiencyBestManagementPractices,Chrome 75.0.3770.100,,2019-07-21 13:33:33,2019-07-21 13:51:03,17m - 29.627s,FAILED
runWithCucumberRunner(testRunner.EnergyEfficiencyBestManagementPractices),Chrome 75.0.3770.100,,2019-07-21 13:33:33,2019-07-21 13:51:03,17m - 29.015s,FAILED
,,,,,,
Test Cases/TC_EnhancedRefrigerantManagement,Chrome 75.0.3770.100,,2019-07-21 13:51:03,2019-07-21 14:05:36,14m - 33.606s,FAILED
runWithCucumberRunner(testRunner.EnhancedRefrigerantManagementTestRunner),Chrome 75.0.3770.100,,2019-07-21 13:51:03,2019-07-21 14:05:36,14m - 32.829s,FAILED
,,,,,,
Test Cases/TC_EnvironmentalTobaccoSmokeControl,Chrome 75.0.3770.100,,2019-07-21 14:05:36,2019-07-21 15:12:46,1h - 7m - 9.353s,FAILED
runWithCucumberRunner(testRunner.EnvironmentalTobaccoSmokeControlTestRunner),Chrome 75.0.3770.100,,2019-07-21 14:05:37,2019-07-21 15:12:45,1h - 7m - 7.763s,FAILED
,,,,,,
Test Cases/TC_FacilityMaintenanceandRenovationPolicy,Chrome 75.0.3770.100,,2019-07-21 15:12:47,2019-07-21 16:02:39,49m - 51.540s,FAILED
runWithCucumberRunner(testRunner.FacilityMaintenanceandRenovationPolicyTestRunner),Chrome 75.0.3770.100,,2019-07-21 15:12:52,2019-07-21 16:02:38,49m - 46.378s,FAILED
,,,,,,
Test Cases/TC_FundamentalRefregrantMgmt,Chrome 75.0.3770.100,,2019-07-21 16:02:40,2019-07-21 16:38:34,35m - 54.063s,FAILED
runWithCucumberRunner(testRunner.FundamentalRefTestRunner),Chrome 75.0.3770.100,,2019-07-21 16:02:44,2019-07-21 16:38:34,35m - 50.286s,FAILED
,,,,,,
Test Cases/TC_GreenCleaning,Chrome 75.0.3770.100,,2019-07-21 16:38:35,2019-07-21 17:20:32,41m - 57.394s,FAILED
runWithCucumberRunner(testRunner.GreenCleaningTestRunner),Chrome 75.0.3770.100,,2019-07-21 16:38:39,2019-07-21 17:20:32,41m - 53.065s,FAILED
,,,,,,
Test Cases/TC_GreenCleaningPolicy,Chrome 75.0.3770.100,,2019-07-21 17:20:34,2019-07-21 17:55:01,34m - 26.603s,FAILED
runWithCucumberRunner(testRunner.GreenCleaningPolicyTestRunner),Chrome 75.0.3770.100,,2019-07-21 17:20:37,2019-07-21 17:55:01,34m - 23.990s,FAILED
,,,,,,
Test Cases/TC_GridHarmonization,Chrome 75.0.3770.100,,2019-07-21 17:55:01,2019-07-21 18:29:56,34m - 54.876s,FAILED
runWithCucumberRunner(testRunner.GridHarmonizationTestRunner),Chrome 75.0.3770.100,,2019-07-21 17:55:02,2019-07-21 18:29:55,34m - 53.110s,FAILED
,,,,,,
Test Cases/TC_HeatIslandReduction,Chrome 75.0.3770.100,,2019-07-21 18:29:56,2019-07-21 18:44:02,14m - 6.608s,FAILED
runWithCucumberRunner(testRunner.HeatIslandReductionTestRunner),Chrome 75.0.3770.100,,2019-07-21 18:29:58,2019-07-21 18:44:02,14m - 3.638s,FAILED
